No,Operator,Product,Description,Normal Price,Price,Discount
105,Smartfren,Super 4G Unlimited Bulanan 150K,"unlimited 1.75GB/Day FUP, 28 hari masa aktif",149000,149000,0
106,XL,"XTRA Combo 20GB+40GB, Double Youtube, 30hr","20GB Kuota Utama + 40GB Kuota Youtube (00:24 - 24:00) + Unlimited Kuota Youtube (01:00 - 06:00) + 60 Menit Nelpon ke Semua Operator. Masa aktif 30 hari, sisa kuota (Max. 1GB) dapat digunakan di bulan berikutnya.",179000,179000,0
107,XL,"XTRA Combo VIP 20GB+40GB, Double Youtube, 30hr","20GB Kuota Utama + 40GB Kuota Youtube (00:00 - 24:00) + Unlimited Kuota Youtube (01:00 - 06:00) + 60 Menit Nelpon ke Semua Operator. Masa aktif 30 hari, sisa kuota dapat digunakan di bulan berikutnya.",189000,189000,0
108,XL,"Internet Umroh & Haji 2GB+2GB, 45hr",2GB Kuota Utama untuk di Indonesia + 2GB Kuota Utama untuk di Arab Saudi. Masa aktif 45 hari. Syarat & ketentuan lebih lengkap di xl.co.id/umrohhaji,189000,189000,0
109,Smartfren,Smartfren Internet Volume 120GB,"Untuk Smartphone & Mifi, Kuota 24 jam 40 GB, Kuota Malam 80GB (01.00-04.59), Free On Net Call & SmartMusic Subscription, Masa berlaku 30 Hari",195000,195000,0
110,XL,"Akrab 144GB, 3 Anggota, 30hr", 45GB Kuota Bersama + Bonus Kuota Pribadi hingga 33GB per Anggota  + Unlimited Kuota Aplikai + Unlimited Nelpon & SMS ke XL/AXIS. Cek Kuota Pribadi di areamu xl.co.id/akrab,205000,205000,0
111,Smartfren,Super 4G Unlimited Bulanan 200K,"unlimited 2GB/Day FUP, 28 hari masa aktif",199000,199000,0
112,XL,"XTRA Combo 35GB+70GB, Double Youtube, 30hr","35GB Kuota Utama + 70GB Kuota Youtube (00:24 - 24:00) + Unlimited Kuota Youtube (01:00 - 06:00) + 90 Menit Nelpon ke Semua Operator. Masa aktif 30 hari, sisa kuota (Max. 1GB) dapat digunakan di bulan berikutnya.",239000,239000,0
113,XL,"XTRA Combo VIP 35GB+70GB, Double Youtube, 30hr","35GB Kuota Utama + 70GB Kuota Youtube (00:00 - 24:00) + Unlimited Kuota Youtube (01:00 - 06:00) + 90 Menit Nelpon ke Semua Operator. Masa aktif 30 hari, sisa kuota dapat digunakan di bulan berikutnya.",249000,249000,0
114,XL,Xtra Combo Flex Max 80GB + Kuota Area Hingga 105GB + Bonus Flex,80GB Kuota Utama + Kuota Area hingga 105GB + 90Mn Nelpon ke Semua Operator + Ambil bonus Kuota Utama/Xtra Unlimited Turbo/Vidio Platinum di myXL. Masa aktif Paket 30hr. Info lanjut di xl.co.id/xcfm,245000,245000,0
115,XL,"Akrab 260GB, 4 Anggota, 30hr",80GB Kuota Bersama + Bonus Kuota Pribadi hingga 45GB per Anggota + Unlimited Kuota Aplikasi + Unlimited Nelpon & SMS ke XL/AXIS. Cek Kuota Pribadi di areamu xl.co.id/akrab,320000,320000,0
116,Axis,Combo Mabrur & Haji 20 Hari,"""- Kuota nelpon dapat digunakan untuk melakukan panggilan ke nomor Indonesia (AXIS, XL & Operator lain) dan nomor Saudi Arabi, dan juga menerima panggilan telpon - Kuota SMS dapat digunakan untuk seluruh operator (baik Operator di Indonesia maupun di Luar Negeri) - Untuk data, setelah melewati FUP maka kecepatan akan turun menjadi 64kbps""",399000,399000,0
117,XL,"Internet Umroh & Haji 5GB+5GB, 45hr",5GB Kuota Utama untuk di Indonesia + 5GB Kuota Utama untuk di Arab Saudi. Masa aktif 45 hari. Syarat & ketentuan lebih lengkap di xl.co.id/umrohhaji,469000,469000,0
118,XL,"Akrab 460GB, 4 Anggota, 30hr",160GB Kuota Bersama + Bonus Kuota Pribadi hingga 75GB per Anggota  + Unlimited Kuota Aplikasi+ Unlimited Nelpon & SMS ke XL/AXIS. Cek Kuota Pribadi di areamu xl.co.id/akrab,515000,515000,0
119,XL,"Internet Umroh & Haji 25GB+25GB, 60hr",25GB Kuota Utama untuk di Indonesia + 25GB Kuota Utama untuk di Arab Saudi. Masa aktif 60 hari. Syarat & ketentuan lebih lengkap di xl.co.id/umrohhaji,999000,999000,0
120,XL,"Xtra Conference 2GB, 1hr","Kuota utama 2GB, Dapat digunakan di jaringan 2G/3G/4G dari jam 00.00-24.00 WIB, Dapat digunakan untuk apps Microsoft Teams, Zoom, Google Meet, Google Hangout, Google Classroom, Masa aktif 1 hari",2938,2938,62
121,Tri,Happy 1.5GB 1 hari,"""Kuota 1.5GB (semua jaringan 24 jam), masa aktif 1 hari. Pembelian lebih dari satu kali atau Paket Happy Lainnya, sisa kuota akan reset dan tergantikan oleh Paket Happy yang terbaru. Berhenti berlangganan ketik STOP HARIAN kirim ke 234""",3900,3900,0
122,XL,"Xtra Conference 5GB, 3hr","Kuota utama 5GB, Dapat digunakan di jaringan 2G/3G/4G dari jam 00.00-24.00 WIB, Dapat digunakan untuk apps Microsoft Teams, Zoom, Google Meet, Google Hangout, Google Classroom, Masa aktif 3 hari",4938,4938,62
123,Tri,PAKET DATA THREE 750 MB 24JAM MASA AKTIF 14 HARI,PAKET DATA THREE 750 MB 24JAM MASA AKTIF 14 HARI,4600,4600,0
124,Tri, Happy 2.5GB 1 hari,"""Kuota 2.5GB (semua jaringan 24 jam), masa aktif 1 hari. Pembelian lebih dari satu kali atau Paket Happy Lainnya, sisa kuota akan reset dan tergantikan oleh Paket Happy yang terbaru. Berhenti berlangganan ketik STOP HARIAN kirim ke 234""",5250,5250,0
125,Tri,PAKET DATA THREE 1 GB 24JAM MASA AKTIF 30 HARI,PAKET DATA THREE 1 GB 24JAM MASA AKTIF 30 HARI,6250,6250,0
126,Telkomsel,Telkomsel Data Flash 250MB,"250MB All Network, bebas zona, masa aktif 7 hari.",9955,9955,0
127,Axis,Paket KANGEN 30 menit 7 hari,"Kuota nelpon 30 menit ke semua operator, masa aktif 7 hari.",8750,8750,1150
128,Tri,Happy 1.5GB 7 hari,"""Kuota 1.5GB (semua jaringan 24 jam), masa aktif 7 hari. Pembelian lebih dari satu kali atau Paket Happy Lainnya, sisa kuota akan reset dan tergantikan oleh Paket Happy yang terbaru. Berhenti berlangganan ketik STOP MINGGUAN kirim ke 234""",8750,8750,0
129,Tri,"PAKET DATA THREE 1,5 GB 24JAM MASA AKTIF 14 HARI","PAKET DATA THREE 1,5 GB 24JAM MASA AKTIF 14 HARI",9500,9500,0
130,Tri,Happy 5GB 1 hari,"""Kuota 5GB (semua jaringan 24 jam), masa aktif 1 hari. Pembelian lebih dari satu kali atau Paket Happy Lainnya, sisa kuota akan reset dan tergantikan oleh Paket Happy yang terbaru. Berhenti berlangganan ketik STOP HARIAN kirim ke 234""",9750,9750,0
131,Indosat,Paket Nelpon Obrol Sepuasnya ke Sesama 30 Hari,Nelp Sepuasnya ke Sesama IM3 dan Tri & Spesial Tarif Nelp ke operator lain Rp 10/detik. Masa aktif 30 hari,9900,9900,0
132,Telkomsel, PAKET BICARA SEMUA OPERATOR 1HARI , 280menit Onnet + 5menit AllOpr ,11500,11500,0
133,XL,"Xtra Conference 15GB, 7hr","Kuota utama 15GB, Dapat digunakan di jaringan 2G/3G/4G dari jam 00.00-24.00 WIB, Dapat digunakan untuk apps Microsoft Teams, Zoom, Google Meet, Google Hangout, Google Classroom, Masa aktif 7 hari",11874,11874,126
134,Telkomsel,"Telkomsel Data Flash 500MB, 15Hr"," 500MB All Network, bebas zona, masa aktif 15 hari.",16980,16980,0
135,Tri,Happy 3GB 3 hari,"""Kuota 3GB (semua jaringan 24 jam), masa aktif 3 hari. Pembelian lebih dari satu kali atau Paket Happy Lainnya, sisa kuota akan reset dan tergantikan oleh Paket Happy yang terbaru. Berhenti berlangganan ketik STOP MINGGUAN kirim ke 234""",10750,10750,0
136,Indosat,Freedom Internet Sachet 2.5GB/5Hari,"• Kuota Utama 2.5GB, masa aktif 5 Hari. • Pembelian paket akan menggantikan paket yg masih aktif.",10950,10950,0
137,XL,"AnyNet 400 Menit, 7 hari",Paket AnyNet 400 Menit. Masa aktif 7 hari.,11750,11750,250
138,Tri,PAKET DATA THREE 2 GB 24JAM MASA AKTIF 30 HARI,PAKET DATA THREE 2 GB 24JAM MASA AKTIF 30 HARI,12450,12450,0
139,Tri,Happy 5GB 3 hari,"""Kuota 5GB (semua jaringan 24 jam), masa aktif 3 hari. Pembelian lebih dari satu kali atau Paket Happy Lainnya, sisa kuota akan reset dan tergantikan oleh Paket Happy yang terbaru. Berhenti berlangganan ketik STOP MINGGUAN kirim ke 234""",14500,14500,0
