No,Operator,Product,Description,Normal Price,Price,Discount
199,Indosat, Freedom U 10GB / 30 Hari,"• Kuota utama 2GB + Kuota Youtube, Netflix, Instagram, Zoom & Apps 8GB. • Kelebihan Penggunaan Apps akan menggunakan kuota utama. • Pulsa Safe hingga 64Kbps berlaku jika kuota utama habis. • Baru! Kini dgn Nelpon Sepuasnya Ke Sesama IM3 & Tri. • Masa aktif 30 hari. • Pembelian paket akan menggantikan paket yg masih aktif.",51500,51500,0
200,Axis,OWSEM 24GB + Unlimited Games 30 Hari,"Kuota utama 3GB + kuota malam 9GB (00-06), Kuota musik 6GB + kuota Sosmed 6GB + kuota Gaming 1GB/hari (FreeFire, Mobile Legends, AOV, ASPHALT Legends, Vainglory, Modern Combat 5). Masa aktif 30 hari. ",54900,54900,1000
201,Axis,Paket Internet Axis BRONET 4G OWSEM 2GB+6GB (4G),Kuota Data 2GB + 6GB (4G). Masa aktif 30 hari.,54500,54500,7400
202,Tri,Happy 18GB 30 hari + TikTok 5GB,"Kuota 18GB (semua jaringan 24 jam), masa aktif 30 hari. Bonus kuota TikTok 5GB 5 hari (1GB/hari).  Pembelian lebih dari satu kali atau Paket Happy Lainnya, sisa kuota akan reset dan tergantikan oleh Paket Happy yang terbaru. Berhenti berlangganan ketik STOP BULANAN kirim ke 234.",58500,58500,0
203,Telkomsel,Paket Bicara Telkomsel 50.000,1000 menit Onnet + 100 menit all operator. Masa aktif 30 hari. Kuota zona berlaku.,59300,59300,0
204,XL,Paket Internet XL HotRod 3GB,Kuota Utama 3GB (2G/3G/4G). Masa aktif 30 hari.,58712,58712,1288
205,XL,"AnyNet 250 Menit, 30 hari",Paket AnyNet 250Menit. Masa aktif 30 hari.,58800,58800,1200
206,Axis,AIGO Bronet 24Jam 8GB 30hr,"Kuota Utama 8GB, Kuota Lokal mulai 4GB berlaku di area tertentu, 30hari. Cek Kuota Utama/Lokal/sisa kuota di AXISnet. Unduh AXISnet dari Google Play atau Apple Store. Bronet 30hari tidak berlaku perpanjangan",64900,64900,0
207,Tri,PAKET DATA THREE 10 GB 24JAM MASA AKTIF 30 HARI,PAKET DATA THREE 10 GB 24JAM MASA AKTIF 30 HARI,61500,61500,0
208,Tri,"Tri Keep ON 8.5 GB, 30Hr","8,5 GB semua jaringan Tri + 100 mnt ke sesama Tri + 100 sms ke sesama Tri + games di trixogo dan nonton Viu 30 hari",61000,61000,0
209,Axis,OWSEM 32GB + Unlimited Games 30 Hari,"	Kuota utama 4 GB, kuota malam 12GB (00-06), Kuota music 8GB, Sosmed 8GB, Gaming kuota 1GB/hari (FreeFire, Mobile Legends, AOV, ASPHALT Legends, Vainglory, Modern Combat 5). Masa aktif 30 hari. ",63500,63500,2400
210,Indosat,Freedom Combo 20GB / 30 Hari,• Kuota Utama 15GB+Kuota Malam 5GB. • Baru! Kini dgn Nelpon Sepuasnya Ke Sesama IM3 & Tri+Nelp ke Oprtr Lain 15Menit. • Masa aktif 30 hari. • Pembelian paket akan menggantikan paket yg masih aktif.,63780,63780,0
211,Tri,Internet 10GB + VIU 30 Hari,2GB semua jaringan + 8GB 4G + Akses Viu 30 hari.,67500,67500,0
212,Tri,Happy 30GB 30 hari + TikTok 5GB,"""Kuota 30GB (semua jaringan 24 jam), masa aktif 30 hari. Bonus kuota TikTok 5GB 5 hari (1GB/hari).  Pembelian lebih dari satu kali atau Paket Happy Lainnya, sisa kuota akan reset dan tergantikan oleh Paket Happy yang terbaru. Berhenti berlangganan ketik STOP BULANAN kirim ke 234.""",68000,68000,0
213,Axis,Paket Internet Axis BRONET 8GB 60 Hari NEW!,Kuota 8GB (2G/3G/4G) 24Jam. Masa aktif 60 hari.,71750,71750,4150
214,Axis,Paket Internet Axis BRONET 4G OWSEM 3GB+9GB (4G),Kuota Data 3GB + 9GB (4G). Masa aktif 30 hari.,68500,68500,12400
215,Tri,AON Unlimited 26GB,6GB AON (aktif selamanya) + 20GB Unlimited 01-17 (30 hari).,72500,72500,0
216,Tri,AddOn 32GB,2GB (semua jaringan 24jam) + 15GB (500MB/Hari) + 15GB (01-17) 30 Hari,72000,72000,0
217,XL,"AnyNet 325 Menit, 30 hari",Paket AnyNet 325 Menit. Masa aktif 30 hari.,73500,73500,1500
218,Indosat, Freedom U 20GB / 30 Hari ,"• Kuota utama 3GB + Kuota Youtube, Netflix, Instagram, Zoom & Apps 17GB. • Kelebihan Penggunaan Apps akan menggunakan kuota utama. • Pulsa Safe hingga 64Kbps berlaku jika kuota utama habis. • Baru! Kini dgn Nelpon Sepuasnya Ke Sesama IM3 & Tri. • Masa aktif 30 hari. • Pembelian paket akan menggantikan paket yg masih aktif.",73000,73000,0
219,Telkomsel,PAKET INTERNET BULANAN OMG! 75K,KUOTA 4GB sd 13GB + 2GB OMG!,78000,78000,0
220,Axis,OWSEM 48GB + Unlimited Games 30 Hari,"Kuota utama 6 GB, kuota malam 18GB (00-06), Kuota music 12GB, Sosmed 12GB, Gaming kuota 1GB/hari (FreeFire, Mobile Legends, AOV, ASPHALT Legends, Vainglory, Modern Combat 5). Masa aktif 30 hari.",81500,81500,2400
221,Tri,"Tri Happy 26GB, 30Hr","8,5 GB semua jaringan Tri + 100 mnt ke sesama Tri + 100 sms ke sesama Tri + games di trixogo dan nonton Viu 30 hari",79900,79900,0
222,Axis,Paket Internet Axis BRONET 10GB 60 Hari,Kuota 10GB (2G/3G/4G) 24Jam. Masa aktif 60 hari.,87900,87900,0
223,Tri,Happy 42GB 30 hari + TikTok 5GB,"""Kuota 42GB (semua jaringan 24 jam), masa aktif 30 hari. Bonus kuota TikTok 5GB 5 hari (1GB/hari).  Pembelian lebih dari satu kali atau Paket Happy Lainnya, sisa kuota akan reset dan tergantikan oleh Paket Happy yang terbaru. Berhenti berlangganan ketik STOP BULANAN kirim ke 234.""",82500,82500,0
224,Telkomsel,Telkomsel Data Flash 5GB,Kuota utama 5GB,88980,88980,0
225,Tri,AddOn 38GB,8GB (semua jaringan 24jam) + 15GB (500MB/Hari) + 15GB (01-17) 30 Hari,82000,82000,0
226,Indosat,Freedom Combo 30GB / 30 Hari,• Kuota Utama 23GB+Kuota Malam 7GB. • Baru! Kini dgn Nelpon Sepuasnya Ke Sesama IM3 & Tri+Nelp ke Oprtr Lain 20 Menit. • Masa aktif 30 hari. • Pembelian paket akan menggantikan paket yg masih aktif.,85330,85330,0
227,Telkomsel, PAKET BICARA SEMUA OPERATOR 30HARI ,1500-1400 onnet + 100 mins all opr 14 Hari,88750,88750,0
228,Telkomsel,Paket Telpon (1.400-3.900 Menit On Net + 100 Menit Off Net) 30 Hari,Paket telpon sampai dengan 3.900 Menit ke sesama operator dan 100 Menit ke Operator lain. Masa aktif 30 Hari,94500,94500,0
229,Axis,Paket Internet Axis BRONET 12GB 60 Hari,Kuota 12GB (2G/3G/4G) 24Jam. Masa aktif 60 hari.,97900,97900,0
230,Tri,AON 40GB,"Kuota AlwaysOn = 40GB, aktif selamanya (mengikuti masa aktif kartu). Menambah masa aktif kartu 90 hari. Maksimal masa aktif kartu 365 hari.",98000,98000,0
231,Axis,OWSEM 80GB + Unlimited Games 30 Hari,"	Kuota utama 10 GB, kuota malam 30GB (00-06), Kuota music 20GB, Sosmed 20GB, Gaming kuota 1GB/hari (FreeFire, Mobile Legends, AOV, ASPHALT Legends, Vainglory, Modern Combat 5). Masa aktif 30 hari.",102500,102500,2400
232,XL,Paket Internet XL HotRod 6GB,Kuota Utama 6GB (2G/3G/4G). Masa aktif 30 hari.,97900,97900,2100
233,XL,"Anynet 300 menit, 90 hari",Paket AnyNet 300 Menit. Masa aktif 90 hari.,97900,97900,2100
234,Telkomsel,"Kuota MaxStream 20GB + 4GB All network, 30 hari",Kuota MAXstream 20GB + All network 4GB. Masa aktif 30 hari,104500,104500,0
235,Tri,Happy 55GB 30 hari + TikTok 5GB,"""Kuota 55GB (semua jaringan 24 jam), masa aktif 30 hari. Bonus kuota TikTok 5GB 5 hari (1GB/hari).  Pembelian lebih dari satu kali atau Paket Happy Lainnya, sisa kuota akan reset dan tergantikan oleh Paket Happy yang terbaru. Berhenti berlangganan ketik STOP BULANAN kirim ke 234.""",109000,109000,0
236,Telkomsel, PAKET BICARA SESAMA TELKOMSEL 30HARI ,3650 min onnet-3600 onnet 14 Hari,123575,123575,0
237,Tri,Home 117GB,17GB (semua jaringan 24jam) + 40GB (weekend) + 60GB (01-17) 30 Hari,112000,112000,0
238,Telkomsel,PAKET INTERNET BULANAN OMG! 110K,KUOTA 7GB sd 23GB + 2GB OMG!,114500,114500,0
239,Axis,Paket Internet Axis BRONET 16GB 60 Hari,Kuota 16GB (2G/3G/4G) 24Jam. Masa aktif 60 hari.,119900,119900,0
240,XL,Paket Internet XL HotRod 8GB,Kuota Utama 8GB (2G/3G/4G). Masa aktif 30 hari.,127895,127895,2105
241,Tri,Happy 100GB 30 Hari + TikTok 5GB,"""Kuota 100GB (semua jaringan 24 jam), masa aktif 30 hari. Bonus kuota TikTok 5GB 5 hari (1GB/hari).  Pembelian lebih dari satu kali atau Paket Happy Lainnya, sisa kuota akan reset dan tergantikan oleh Paket Happy yang terbaru. Berhenti berlangganan ketik STOP BULANAN kirim ke 234.""",134000,134000,0
242,Telkomsel,Paket Data Zoom 30 Hari,"Kuota Internet ZOOM 15GB, masa aktif 30 hari",132400,132400,0
243,XL,"AnyNet 500 Menit, 30 hari",Paket AnyNet 500 Menit. Masa aktif 30 hari.,137200,137200,2800
244,Telkomsel,Paket Telpon (4.700-10.200 Menit On Net + 200 Menit Off Net) 30 Hari,Paket telpon sampai dengan 10.200 Menit ke sesama operator dan 200 Menit ke Operator lain. Masa aktif 30 Hari,148000,148000,0
245,Tri,Home 150GB, Kuota Utama 15GB + 60GB (Weekend) + 75GB (01:00 - 17:00).Masa aktif 30 hari ,143500,143500,0
246,XL,Paket AnyNet 500 Menit 90 Hari,Paket AnyNet 500 Menit. Masa aktif 90 hari.,144000,144000,6000
247,Telkomsel,"Kuota MaxStream 30GB + 10GB All network, 30 hari",Kuota MAXstream 30GB + All network 10GB. Masa aktif 30 hari,158200,158200,0
248,Telkomsel,PAKET INTERNET BULANAN OMG! 160K,KUOTA 19GB sd 48GB + 2GB OMG!,165750,165750,0
249,Indosat, Freedom Combo 60GB / 30 Hari,• Kuota Utama 45GB+Kuota Malam 15GB. • Baru! Kini dgn Nelpon Sepuasnya Ke Sesama IM3 & Tri+Nelp ke Oprtr Lain 30 Menit. • Masa aktif 30 hari. • Pembelian paket akan menggantikan paket yg masih aktif.,162600,162600,0
250,XL,Paket Internet XL HotRod 12GB,Kuota Utama 12GB (2G/3G/4G). Masa aktif 30 hari.,175895,175895,4105
251,Telkomsel,PAKET INTERNET BULANAN OMG! 210K,KUOTA 43GB sd 83GB + 2GB OMG!,217025,217025,0
252,XL,Paket Internet XL HotRod 16GB,Kuota Utama 16GB (2G/3G/4G). Masa aktif 30 hari.,215000,215000,5000
253,XL,Paket Akrab 460GB + Bonus Pulsa 100.000,160GB Kuota Bersama + Bonus Kuota Pribadi hingga 75GB per Anggota + Unlimited Kuota Aplikasi Produktivitas + Unlimited Nelpon & SMS ke XL/AXIS + Bonus Pulsa 100.000. Detail Area bisa dilihat di xl.co.id/akrab,515000,515000,0
