,No,Operator,Product,Description,Normal Price,Price,Discount,Kuota,Durasi
205,206,axis,aigo bronet 24jam,"kuota utama 8gb, kuota lokal mulai 4gb berlaku di area tertentu, 30hari. cek kuota utama/lokal/sisa kuota di axisnet. unduh axisnet dari google play atau apple store. bronet 30hari tidak berlaku perpanjangan",64900,64900,0,8gb,30hr
206,207,tri,paket data three,paket data three 10 gb 24jam masa aktif 30 hari,61500,61500,0,10gb,30hr
207,208,tri,tri keep on,"8,5 gb semua jaringan tri + 100 mnt ke sesama tri + 100 sms ke sesama tri + games di trixogo dan nonton viu 30 hari",61000,61000,0,8.5gb,30hr
208,209,axis,owsem,"	kuota utama 4 gb, kuota malam 12gb (00-06), kuota music 8gb, sosmed 8gb, gaming kuota 1gb/hari (freefire, mobile legends, aov, asphalt legends, vainglory, modern combat 5). masa aktif 30 hari. ",63500,63500,2400,32gb,30hr
209,210,indosat,freedom combo,• kuota utama 15gb+kuota malam 5gb. • baru! kini dgn nelpon sepuasnya ke sesama im3 & tri+nelp ke oprtr lain 15menit. • masa aktif 30 hari. • pembelian paket akan menggantikan paket yg masih aktif.,63780,63780,0,20gb,30hr
210,211,tri,internet,2gb semua jaringan + 8gb 4g + akses viu 30 hari.,67500,67500,0,10gb,30hr
211,212,tri,happy,"""kuota 30gb (semua jaringan 24 jam), masa aktif 30 hari. bonus kuota tiktok 5gb 5 hari (1gb/hari).  pembelian lebih dari satu kali atau paket happy lainnya, sisa kuota akan reset dan tergantikan oleh paket happy yang terbaru. berhenti berlangganan ketik stop bulanan kirim ke 234.""",68000,68000,0,30gb,0
212,213,axis,paket internet axis bronet,kuota 8gb (2g/3g/4g) 24jam. masa aktif 60 hari.,71750,71750,4150,8gb,0
213,214,axis,paket internet axis bronet 4g owsem,kuota data 3gb + 9gb (4g). masa aktif 30 hari.,68500,68500,12400,3gb+9gb,0
214,215,tri,aon unlimited,6gb aon (aktif selamanya) + 20gb unlimited 01-17 (30 hari).,72500,72500,0,26gb,0
215,216,tri,addon,2gb (semua jaringan 24jam) + 15gb (500mb/hari) + 15gb (01-17) 30 hari,72000,72000,0,32gb,0
216,217,xl,anynet 325 menit,paket anynet 325 menit. masa aktif 30 hari.,73500,73500,1500,,30hr
217,218,indosat,freedom u,"• kuota utama 3gb + kuota youtube, netflix, instagram, zoom & apps 17gb. • kelebihan penggunaan apps akan menggunakan kuota utama. • pulsa safe hingga 64kbps berlaku jika kuota utama habis. • baru! kini dgn nelpon sepuasnya ke sesama im3 & tri. • masa aktif 30 hari. • pembelian paket akan menggantikan paket yg masih aktif.",73000,73000,0,20gb,30hr
218,219,telkomsel,paket internet bulanan omg! 75k,kuota 4gb sd 13gb + 2gb omg!,78000,78000,0,,0
219,220,axis,owsem,"kuota utama 6 gb, kuota malam 18gb (00-06), kuota music 12gb, sosmed 12gb, gaming kuota 1gb/hari (freefire, mobile legends, aov, asphalt legends, vainglory, modern combat 5). masa aktif 30 hari.",81500,81500,2400,48gb,30hr
220,221,tri,tri happy,"8,5 gb semua jaringan tri + 100 mnt ke sesama tri + 100 sms ke sesama tri + games di trixogo dan nonton viu 30 hari",79900,79900,0,26gb,30hr
221,222,axis,paket internet axis bronet,kuota 10gb (2g/3g/4g) 24jam. masa aktif 60 hari.,87900,87900,0,10gb,60hr
222,223,tri,happy,"""kuota 42gb (semua jaringan 24 jam), masa aktif 30 hari. bonus kuota tiktok 5gb 5 hari (1gb/hari).  pembelian lebih dari satu kali atau paket happy lainnya, sisa kuota akan reset dan tergantikan oleh paket happy yang terbaru. berhenti berlangganan ketik stop bulanan kirim ke 234.""",82500,82500,0,42gb,0
223,224,telkomsel,telkomsel data flash,kuota utama 5gb,88980,88980,0,5gb,0
224,225,tri,addon,8gb (semua jaringan 24jam) + 15gb (500mb/hari) + 15gb (01-17) 30 hari,82000,82000,0,38gb,0
225,226,indosat,freedom combo,• kuota utama 23gb+kuota malam 7gb. • baru! kini dgn nelpon sepuasnya ke sesama im3 & tri+nelp ke oprtr lain 20 menit. • masa aktif 30 hari. • pembelian paket akan menggantikan paket yg masih aktif.,85330,85330,0,30gb,30hr
226,227,telkomsel,paket bicara semua operator,1500-1400 onnet + 100 mins all opr 14 hari,88750,88750,0,,30hr
227,228,telkomsel,paket telpon (1.400-3.900 menit on net + 100 menit off net),paket telpon sampai dengan 3.900 menit ke sesama operator dan 100 menit ke operator lain. masa aktif 30 hari,94500,94500,0,,30hr
228,229,axis,paket internet axis bronet,kuota 12gb (2g/3g/4g) 24jam. masa aktif 60 hari.,97900,97900,0,12gb,60hr
229,230,tri,aon,"kuota alwayson = 40gb, aktif selamanya (mengikuti masa aktif kartu). menambah masa aktif kartu 90 hari. maksimal masa aktif kartu 365 hari.",98000,98000,0,40gb,0
230,231,axis,owsem,"	kuota utama 10 gb, kuota malam 30gb (00-06), kuota music 20gb, sosmed 20gb, gaming kuota 1gb/hari (freefire, mobile legends, aov, asphalt legends, vainglory, modern combat 5). masa aktif 30 hari.",102500,102500,2400,80gb,30hr
231,232,xl,paket internet xl hotrod,kuota utama 6gb (2g/3g/4g). masa aktif 30 hari.,97900,97900,2100,6gb,0
232,233,xl,anynet 300 menit,paket anynet 300 menit. masa aktif 90 hari.,97900,97900,2100,,90hr
233,234,telkomsel,kuota maxstream,kuota maxstream 20gb + all network 4gb. masa aktif 30 hari,104500,104500,0,20gb,30hr
234,235,tri,happy,"""kuota 55gb (semua jaringan 24 jam), masa aktif 30 hari. bonus kuota tiktok 5gb 5 hari (1gb/hari).  pembelian lebih dari satu kali atau paket happy lainnya, sisa kuota akan reset dan tergantikan oleh paket happy yang terbaru. berhenti berlangganan ketik stop bulanan kirim ke 234.""",109000,109000,0,55gb,0
235,236,telkomsel,paket bicara sesama telkomsel,3650 min onnet-3600 onnet 14 hari,123575,123575,0,,30hr
236,237,tri,home,17gb (semua jaringan 24jam) + 40gb (weekend) + 60gb (01-17) 30 hari,112000,112000,0,117gb,0
237,238,telkomsel,paket internet bulanan omg! 110k,kuota 7gb sd 23gb + 2gb omg!,114500,114500,0,,0
238,239,axis,paket internet axis bronet,kuota 16gb (2g/3g/4g) 24jam. masa aktif 60 hari.,119900,119900,0,16gb,60hr
239,240,xl,paket internet xl hotrod,kuota utama 8gb (2g/3g/4g). masa aktif 30 hari.,127895,127895,2105,8gb,0
240,241,tri,happy,"""kuota 100gb (semua jaringan 24 jam), masa aktif 30 hari. bonus kuota tiktok 5gb 5 hari (1gb/hari).  pembelian lebih dari satu kali atau paket happy lainnya, sisa kuota akan reset dan tergantikan oleh paket happy yang terbaru. berhenti berlangganan ketik stop bulanan kirim ke 234.""",134000,134000,0,100gb,0
241,242,telkomsel,paket data zoom,"kuota internet zoom 15gb, masa aktif 30 hari",132400,132400,0,,30hr
242,243,xl,anynet 500 menit,paket anynet 500 menit. masa aktif 30 hari.,137200,137200,2800,,30hr
243,244,telkomsel,paket telpon (4.700-10.200 menit on net + 200 menit off net),paket telpon sampai dengan 10.200 menit ke sesama operator dan 200 menit ke operator lain. masa aktif 30 hari,148000,148000,0,,30hr
244,245,tri,home, kuota utama 15gb + 60gb (weekend) + 75gb (01:00 - 17:00).masa aktif 30 hari ,143500,143500,0,150gb,0
245,246,xl,paket anynet 500 menit,paket anynet 500 menit. masa aktif 90 hari.,144000,144000,6000,,90hr
246,247,telkomsel,kuota maxstream,kuota maxstream 30gb + all network 10gb. masa aktif 30 hari,158200,158200,0,30gb,30hr
247,248,telkomsel,paket internet bulanan omg! 160k,kuota 19gb sd 48gb + 2gb omg!,165750,165750,0,,0
248,249,indosat,freedom combo,• kuota utama 45gb+kuota malam 15gb. • baru! kini dgn nelpon sepuasnya ke sesama im3 & tri+nelp ke oprtr lain 30 menit. • masa aktif 30 hari. • pembelian paket akan menggantikan paket yg masih aktif.,162600,162600,0,60gb,30hr
249,250,xl,paket internet xl hotrod,kuota utama 12gb (2g/3g/4g). masa aktif 30 hari.,175895,175895,4105,12gb,0
250,251,telkomsel,paket internet bulanan omg! 210k,kuota 43gb sd 83gb + 2gb omg!,217025,217025,0,,0
251,252,xl,paket internet xl hotrod,kuota utama 16gb (2g/3g/4g). masa aktif 30 hari.,215000,215000,5000,16gb,0
252,253,xl,paket akrab,160gb kuota bersama + bonus kuota pribadi hingga 75gb per anggota + unlimited kuota aplikasi produktivitas + unlimited nelpon & sms ke xl/axis + bonus pulsa 100.000. detail area bisa dilihat di xl.co.id/akrab,515000,515000,0,460gb,0
