,No,Operator,Product,Description,Normal Price,Price,Discount,Kuota,Durasi
61,62,tri,happy,"""kuota 14gb (semua jaringan 24 jam), masa aktif 30 hari. bonus kuota tiktok 5gb 5 hari (1gb/hari).  pembelian lebih dari satu kali atau paket happy lainnya, sisa kuota akan reset dan tergantikan oleh paket happy yang terbaru. berhenti berlangganan ketik stop bulanan kirim ke 234.""",53500,53500,0,14gb,0
62,63,telkomsel,paket internet bulanan omg! 55k,"kuota 3,3 gb sd 7 gb + 1 gb omg!",56500,56500,0,,0
63,64,xl,xtra combo,"5gb kuota utama + 10gb kuota youtube (00:24 - 24:00) + unlimited kuota youtube (01:00 - 06:00) + 20 menit nelpon ke semua operator. masa aktif 30 hari, sisa kuota (max. 1gb) dapat digunakan di bulan berikutnya.",59000,59000,0,5gb+10gb,30hr
64,65,smartfren,smartfren internet volume,"untuk smartphone & mifi, kuota 24 jam 10 gb, kuota malam 20 gb (01.00-04.59), free on net call masa berlaku 30 hari",58500,58500,0,30gb,0
65,66,xl,xl data,"kuota 4gb, 24 jam. masa aktif 30 hari",60750,60750,0,4gb,0
66,67,smartfren,super 4g unlimited 60k,"unlimited 4g data berlaku 24 jam, fup 700mb per hari, masa berlaku 28 hari (non mifi)",62000,62000,0,,0
67,68,axis,axis data,"data 4gb, masa aktif 30 hari",63320,63320,0,4gb,30hr
68,69,xl,xtra combo vip,"5gb kuota utama + 10gb kuota youtube (00:00 - 24:00) + unlimited kuota youtube (01:00 - 06:00) + 20 menit nelpon ke semua operator. masa aktif 30 hari, sisa kuota dapat digunakan di bulan berikutnya.",69000,69000,0,5gb+10gb,30hr
69,70,axis,bronet 24jam,"paket internet axis 8gb 24jam all network + 2gb games (freefire/mobile legend/aov/vainglory/l2r/moderncombats/hago/aspalt9), selama 60 hari",69500,69500,6400,8gb,0
70,71,axis,bronet 24jam,"paket internet axis 8gb 24jam all network, 60hr + 2gb sosmed 30hr (facebook/instagram/twitter/tiktok)",67500,67500,8400,8gb,0
71,72,smartfren,unlimited nonstop 70rb,"kuota utama 30gb unlimited,masa aktif 30 hari,gratis akses ke aplikasi tertentu,gratis nelpon ke sesama smartfren",69500,69500,0,,0
72,73,axis,axis+ bronet 24jam,"paket axis+ 24jam 2gb 30hr, 6bln kuota utama 2gb di 2g/3g/4g & bonus 5gb sosmed/ chat perbulan selama 6 bulan",71000,71000,4000,2gb,0
73,74,axis,axis+ bronet 24jam,"paket axis+ 24jam 1gb 30hr, 12bln kuota utama 1gb di 2g/3g/4g & bonus 2gb sosmed/ chat perbulan selama 12 bulan",77000,77000,8000,1gb,0
74,75,xl,xl data,"kuota 5gb, 24 jam. masa aktif 30 hari",79500,79500,0,5gb,0
75,76,axis,axis data,"data 5gb, masa aktif 30 hari",79570,79570,0,5gb,30hr
76,77,axis,bronet 24jam,"paket internet axis 10gb 24jam all network + 2gb games (freefire/mobile legend/aov/vainglory/l2r/moderncombats/hago/aspalt9), selama 60 hari",79700,79700,8200,10gb,0
77,78,axis,bronet 24jam,"paket internet axis 10gb 24jam all network, 60hr + 2gb sosmed 30hr (facebook/instagram/twitter/tiktok)",79500,79500,8400,10gb,0
78,79,smartfren,super 4g unlimited 80k,unlimited 1gb+1gb /day fup. active period 28 days.,81500,81500,0,,0
79,80,xl,xtra combo,"10gb kuota utama + 20gb kuota youtube (00:24 - 24:00) + unlimited kuota youtube (01:00 - 06:00) + 30 menit nelpon ke semua operator. masa aktif 30 hari, sisa kuota (max. 1gb) dapat digunakan di bulan berikutnya.",89000,89000,0,10gb+20gb,30hr
80,81,axis,axis+ bronet 24jam,"paket axis+ 24jam 3gb 30hr, 6bln kuota utama 3gb di 2g/3g/4g & bonus 7gb sosmed/ chat perbulan selama 6 bulan",87000,87000,8000,3gb,0
81,82,axis,bronet 24jam,"paket internet axis 12gb 24jam all network + 2gb games (freefire/mobile legend/aov/vainglory/l2r/moderncombats/hago/aspalt9), selama 60 hari",90000,90000,7900,12gb,0
82,83,axis,bronet 24jam,"paket internet axis 12gb 24jam all network, 60hr + 2gb sosmed 30hr (facebook/instagram/twitter/tiktok)",89000,89000,8900,12gb,0
83,84,xl,xtra combo flex super,20gb kuota utama + kuota area hingga 22gb + 30min nelpon ke semua operator + ambil bonus kuota utama/xtra unlimited turbo/vidio platinum di myxl. masa aktif paket 30hr. info lanjut di xl.co.id/xcfm,95000,95000,0,20gb,0
84,85,xl,xtra combo vip,"10gb kuota utama + 20gb kuota youtube (00:00 - 24:00) + unlimited kuota youtube (01:00 - 06:00) + 30 menit nelpon ke semua operator. masa aktif 30 hari, sisa kuota dapat digunakan di bulan berikutnya.",99000,99000,0,10gb+20gb,30hr
85,86,indosat,freedom u,"• kuota utama 7gb + kuota youtube, netflix, instagram, zoom & apps 28gb. • kelebihan penggunaan apps akan menggunakan kuota utama. • baru! kini dgn nelpon sepuasnya ke sesama im3 & tri. • masa aktif 30 hari. • pembelian paket akan menggantikan paket yg masih aktif.",94900,94900,0,35gb,30hr
86,87,smartfren,smartfren internet volume,"untuk smartphone & mifi, kuota 24 jam 20 gb, kuota malam 40 gb (01.00-04.59), free on net call    & smartmusic subscription, masa berlaku 30 hari",98000,98000,0,60gb,0
87,88,smartfren,unlimited nonstop 100rb,"kuota utama 45gb unlimited,masa aktif 30 hari,gratis akses ke aplikasi tertentu,gratis nelpon ke sesama smartfren",97500,97500,0,,0
88,89,xl,internet umroh & haji,1gb kuota utama untuk di indonesia + 1gb kuota utama untuk di arab saudi. masa aktif 45 hari. syarat & ketentuan lebih lengkap di xl.co.id/umrohhaji,99000,99000,0,1gb+1gb,45hr
89,90,xl,nelpon umroh & haji,50 min nelpon ke indonesia / arab saudi dan terima telepon + 10 sms. masa aktif 60 hari. syarat & ketentuan lebih lengkap di xl.co.id/umrohhaji,99000,99000,0,,60hr
90,91,smartfren,super 4g unlimited bulanan 100k,unlimited 1.5gb+1.5gb /day fup. active period 28 days.,99900,99900,0,,0
91,92,indosat,freedom internet,kuota utama 42gb berlaku 30 hari. rp100rb/30hr.,100000,100000,0,42gb,30hr
92,93,indosat,freedom combo,• kuota utama 30gb+kuota malam 10gb. • baru! kini dgn nelpon sepuasnya ke sesama im3 & tri+nelp ke oprtr lain 30 menit. • masa aktif 30 hari. • pembelian paket akan menggantikan paket yg masih aktif.,107280,107280,0,40gb,30hr
93,94,indosat,freedom combo,• kuota utama 30gb+kuota malam 10gb. • baru! kini dgn nelpon sepuasnya ke sesama im3 & tri+nelp ke oprtr lain 30 menit. • masa aktif 30 hari. • pembelian paket akan menggantikan paket yg masih aktif.,107280,107280,0,40gb,30hr
94,95,indosat,freedom internet sensasi,"•  kuota utama 50gb, masa aktif 30 hari,•  nelpon sepuasnya ke sesama im3 & tri,• tambahan eksklusif akses fifa worldcup qatar 2022 di aplikasi vidio. berlaku sd 31 des 2022.• pembelian paket akan menggantikan paket yang masih aktif",107500,107500,0,50gb,30hr
95,96,xl,akrab,25gb kuota bersama + bonus kuota pribadi hingga 19gb per anggota + unlimited kuota aplikasi + unlimited nelpon & sms ke xl/axis. cek kuota pribadi di areamu xl.co.id/akrab,125000,125000,0,63gb,30hr
96,97,smartfren,unlimited nonstop 125rb,"kuota utama 60gb unlimited,masa aktif 30 hari,gratis akses ke aplikasi tertentu,gratis nelpon ke sesama smartfren",124500,124500,0,,0
97,98,xl,xl data,"kuota 8gb, 24 jam. masa aktif 30 hari",123500,123500,0,8gb,0
98,99,axis,axis data,"data 8gb, masa aktif 30 hari",123500,123500,0,8gb,30hr
99,100,xl,xtra combo,"15gb kuota utama + 30gb kuota youtube (00:24 - 24:00) + unlimited kuota youtube (01:00 - 06:00) + 40 menit nelpon ke semua operator. masa aktif 30 hari, sisa kuota (max. 1gb) dapat digunakan di bulan berikutnya.",129000,129000,0,15gb+30gb,30hr
100,101,xl,xtra combo vip,"15gb kuota utama + 30gb kuota youtube (00:00 - 24:00) + unlimited kuota youtube (01:00 - 06:00) + 40 menit nelpon ke semua operator. masa aktif 30 hari, sisa kuota dapat digunakan di bulan berikutnya.",139000,139000,0,15gb+30gb,30hr
101,102,indosat,freedom internet sensasi,"freedom internet sensasi 100gb/ 30 hari promo freedom internet sensasi  . kuota utama 100gb, masa aktif 30 hari . tambahan eksklusif akses fifa worldcup qatar 2022 di aplikasi vidio. nelpon sepuasnya ke sesama im3 & tri . pembelian paket akan menggantikan paket yang masih aktif",136000,136000,0,100gb,30hr
102,103,telkomsel, paket bicara semua operator 30hr  plus, 9500menit onnet + 200menit allopr ,140750,140750,0,,0
103,104,smartfren,smartfren internet volume,"untuk smartphone & mifi, kuota 24 jam 30 gb, kuota malam 60gb (01.00-04.59), free on net call & smartmusic subscription, masa berlaku 30 hari",146500,146500,0,90gb,0
104,105,smartfren,super 4g unlimited bulanan 150k,"unlimited 1.75gb/day fup, 28 hari masa aktif",149000,149000,0,,0
105,106,xl,xtra combo,"20gb kuota utama + 40gb kuota youtube (00:24 - 24:00) + unlimited kuota youtube (01:00 - 06:00) + 60 menit nelpon ke semua operator. masa aktif 30 hari, sisa kuota (max. 1gb) dapat digunakan di bulan berikutnya.",179000,179000,0,20gb+40gb,30hr
106,107,xl,xtra combo vip,"20gb kuota utama + 40gb kuota youtube (00:00 - 24:00) + unlimited kuota youtube (01:00 - 06:00) + 60 menit nelpon ke semua operator. masa aktif 30 hari, sisa kuota dapat digunakan di bulan berikutnya.",189000,189000,0,20gb+40gb,30hr
107,108,xl,internet umroh & haji,2gb kuota utama untuk di indonesia + 2gb kuota utama untuk di arab saudi. masa aktif 45 hari. syarat & ketentuan lebih lengkap di xl.co.id/umrohhaji,189000,189000,0,2gb+2gb,45hr
108,109,smartfren,smartfren internet volume,"untuk smartphone & mifi, kuota 24 jam 40 gb, kuota malam 80gb (01.00-04.59), free on net call & smartmusic subscription, masa berlaku 30 hari",195000,195000,0,120gb,0
109,110,xl,akrab, 45gb kuota bersama + bonus kuota pribadi hingga 33gb per anggota  + unlimited kuota aplikai + unlimited nelpon & sms ke xl/axis. cek kuota pribadi di areamu xl.co.id/akrab,205000,205000,0,144gb,30hr
110,111,smartfren,super 4g unlimited bulanan 200k,"unlimited 2gb/day fup, 28 hari masa aktif",199000,199000,0,,0
111,112,xl,xtra combo,"35gb kuota utama + 70gb kuota youtube (00:24 - 24:00) + unlimited kuota youtube (01:00 - 06:00) + 90 menit nelpon ke semua operator. masa aktif 30 hari, sisa kuota (max. 1gb) dapat digunakan di bulan berikutnya.",239000,239000,0,35gb+70gb,30hr
112,113,xl,xtra combo vip,"35gb kuota utama + 70gb kuota youtube (00:00 - 24:00) + unlimited kuota youtube (01:00 - 06:00) + 90 menit nelpon ke semua operator. masa aktif 30 hari, sisa kuota dapat digunakan di bulan berikutnya.",249000,249000,0,35gb+70gb,30hr
113,114,xl,xtra combo flex max,80gb kuota utama + kuota area hingga 105gb + 90mn nelpon ke semua operator + ambil bonus kuota utama/xtra unlimited turbo/vidio platinum di myxl. masa aktif paket 30hr. info lanjut di xl.co.id/xcfm,245000,245000,0,80gb,0
114,115,xl,akrab,80gb kuota bersama + bonus kuota pribadi hingga 45gb per anggota + unlimited kuota aplikasi + unlimited nelpon & sms ke xl/axis. cek kuota pribadi di areamu xl.co.id/akrab,320000,320000,0,260gb,30hr
115,116,axis,combo mabrur & haji,"""- kuota nelpon dapat digunakan untuk melakukan panggilan ke nomor indonesia (axis, xl & operator lain) dan nomor saudi arabi, dan juga menerima panggilan telpon - kuota sms dapat digunakan untuk seluruh operator (baik operator di indonesia maupun di luar negeri) - untuk data, setelah melewati fup maka kecepatan akan turun menjadi 64kbps""",399000,399000,0,,20hr
116,117,xl,internet umroh & haji,5gb kuota utama untuk di indonesia + 5gb kuota utama untuk di arab saudi. masa aktif 45 hari. syarat & ketentuan lebih lengkap di xl.co.id/umrohhaji,469000,469000,0,5gb+5gb,45hr
117,118,xl,akrab,160gb kuota bersama + bonus kuota pribadi hingga 75gb per anggota  + unlimited kuota aplikasi+ unlimited nelpon & sms ke xl/axis. cek kuota pribadi di areamu xl.co.id/akrab,515000,515000,0,460gb,30hr
118,119,xl,internet umroh & haji,25gb kuota utama untuk di indonesia + 25gb kuota utama untuk di arab saudi. masa aktif 60 hari. syarat & ketentuan lebih lengkap di xl.co.id/umrohhaji,999000,999000,0,25gb+25gb,60hr
119,120,xl,xtra conference,"kuota utama 2gb, dapat digunakan di jaringan 2g/3g/4g dari jam 00.00-24.00 wib, dapat digunakan untuk apps microsoft teams, zoom, google meet, google hangout, google classroom, masa aktif 1 hari",2938,2938,62,2gb,1hr
120,121,tri,happy,"""kuota 1.5gb (semua jaringan 24 jam), masa aktif 1 hari. pembelian lebih dari satu kali atau paket happy lainnya, sisa kuota akan reset dan tergantikan oleh paket happy yang terbaru. berhenti berlangganan ketik stop harian kirim ke 234""",3900,3900,0,1.5gb,1hr
121,122,xl,xtra conference,"kuota utama 5gb, dapat digunakan di jaringan 2g/3g/4g dari jam 00.00-24.00 wib, dapat digunakan untuk apps microsoft teams, zoom, google meet, google hangout, google classroom, masa aktif 3 hari",4938,4938,62,5gb,3hr
122,123,tri,paket data three,paket data three 750 mb 24jam masa aktif 14 hari,4600,4600,0,750mb,14hr
123,124,tri,happy,"""kuota 2.5gb (semua jaringan 24 jam), masa aktif 1 hari. pembelian lebih dari satu kali atau paket happy lainnya, sisa kuota akan reset dan tergantikan oleh paket happy yang terbaru. berhenti berlangganan ketik stop harian kirim ke 234""",5250,5250,0,2.5gb,1hr
124,125,tri,paket data three,paket data three 1 gb 24jam masa aktif 30 hari,6250,6250,0,1gb,30hr
125,126,telkomsel,telkomsel data flash,"250mb all network, bebas zona, masa aktif 7 hari.",9955,9955,0,250mb,0
126,127,axis,paket kangen 30 menit,"kuota nelpon 30 menit ke semua operator, masa aktif 7 hari.",8750,8750,1150,,7hr
127,128,tri,happy,"""kuota 1.5gb (semua jaringan 24 jam), masa aktif 7 hari. pembelian lebih dari satu kali atau paket happy lainnya, sisa kuota akan reset dan tergantikan oleh paket happy yang terbaru. berhenti berlangganan ketik stop mingguan kirim ke 234""",8750,8750,0,1.5gb,7hr
128,129,tri,paket data three,"paket data three 1,5 gb 24jam masa aktif 14 hari",9500,9500,0,15gb,14hr
129,130,tri,happy,"""kuota 5gb (semua jaringan 24 jam), masa aktif 1 hari. pembelian lebih dari satu kali atau paket happy lainnya, sisa kuota akan reset dan tergantikan oleh paket happy yang terbaru. berhenti berlangganan ketik stop harian kirim ke 234""",9750,9750,0,5gb,1hr
130,131,indosat,paket nelpon obrol sepuasnya ke sesama,nelp sepuasnya ke sesama im3 dan tri & spesial tarif nelp ke operator lain rp 10/detik. masa aktif 30 hari,9900,9900,0,,30hr
131,132,telkomsel,paket bicara semua operator, 280menit onnet + 5menit allopr ,11500,11500,0,,1hr
132,133,xl,xtra conference,"kuota utama 15gb, dapat digunakan di jaringan 2g/3g/4g dari jam 00.00-24.00 wib, dapat digunakan untuk apps microsoft teams, zoom, google meet, google hangout, google classroom, masa aktif 7 hari",11874,11874,126,15gb,7hr
133,134,telkomsel,telkomsel data flash," 500mb all network, bebas zona, masa aktif 15 hari.",16980,16980,0,500mb,15hr
134,135,tri,happy,"""kuota 3gb (semua jaringan 24 jam), masa aktif 3 hari. pembelian lebih dari satu kali atau paket happy lainnya, sisa kuota akan reset dan tergantikan oleh paket happy yang terbaru. berhenti berlangganan ketik stop mingguan kirim ke 234""",10750,10750,0,3gb,3hr
135,136,indosat,freedom internet sachet,"• kuota utama 2.5gb, masa aktif 5 hari. • pembelian paket akan menggantikan paket yg masih aktif.",10950,10950,0,2.5gb/5hr,2.5gb/5hr
136,137,xl,anynet 400 menit,paket anynet 400 menit. masa aktif 7 hari.,11750,11750,250,,7hr
137,138,tri,paket data three,paket data three 2 gb 24jam masa aktif 30 hari,12450,12450,0,2gb,30hr
138,139,tri,happy,"""kuota 5gb (semua jaringan 24 jam), masa aktif 3 hari. pembelian lebih dari satu kali atau paket happy lainnya, sisa kuota akan reset dan tergantikan oleh paket happy yang terbaru. berhenti berlangganan ketik stop mingguan kirim ke 234""",14500,14500,0,5gb,3hr
139,140,tri,happy,"""kuota 3gb (semua jaringan 24 jam), masa aktif 30 hari. pembelian lebih dari satu kali atau paket happy lainnya, sisa kuota akan reset dan tergantikan oleh paket happy yang terbaru. berhenti berlangganan ketik stop bulanan kirim ke 234""",14500,14500,0,3gb,30hr
140,141,axis,aigo bronet 24jam,"kuota utama 1gb, kuota lokal mulai 0,5gb berlaku di area tertentu, masa aktif paket 30hari. cek kuota utama/lokal/sisa kuota di axisnet. unduh axisnet dari google play atau apple store. bronet 30hari tidak berlaku perpanjangan",16000,16000,0,1gb,30hr
141,142,telkomsel,telkomsel data flash," kuota utama 1gb, masa aktif 7 hari",24280,24280,0,1gb,7hr
142,143,tri,aon,"kuota alwayson = 2.5gb, aktif selamanya (mengikuti masa aktif kartu).menambah masa aktif kartu 90 hari. maksimal masa aktif kartu 365 hari.",15400,15400,0,2.5gb,0
143,144,tri,paket bebas bicara 60 menit,60 menit (24 jam ke semua operator di indonesia) masa berlaku: 30 hari (sampai pukul 23.59) perpanjangan otomatis: ya berhenti perpanjangan: sms ketik stop(spasi)anynet ke 123,15500,15500,0,,0
144,145,tri,paket data three,"paket data three 2,5 gb 24jam masa aktif 14 hari",15750,15750,0,25gb,14hr
145,146,telkomsel,paket data zoom,"kuota internet zoom 500mb, masa aktif 1 hari",15125,15125,0,,1hr
146,147,indosat,freedom internet,"• kuota utama 2gb, masa aktif 30 hari • bonus tambahan kuota zona hingga 2gb, jika registrasi paket di zona kuota plus freedom internet. info im3.do/kuotaplusec • baru! nelpon sepuasnya ke sesama im3 & tri, suara lebih jernih didukung jaringan volte • pembelian paket akan menggantikan paket yg masih aktif",17750,17750,0,2gb,0
147,148,axis,aigo bronet mini,"kuota utama 2gb, kuota lokal mulai 1gb dan bonus kuota video/sosmed/games di area tertentu, masa aktif paket 7hari. cek kuota utama/lokal/sisa kuota di axisnet. unduh axisnet dari google play atau apple store. bronet mini tidak berlaku perpanjangan",18400,18400,0,2gb,7hr
148,149,tri,aon,"kuota alwayson = 3.5gb, aktif selamanya (mengikuti masa aktif kartu). menambah masa aktif kartu 90 hari. maksimal masa aktif kartu 365 hari.",20125,20125,0,3.5gb,0
149,150,tri,happy,"""kuota 6gb (semua jaringan 24 jam), masa aktif 5 hari. pembelian lebih dari satu kali atau paket happy lainnya, sisa kuota akan reset dan tergantikan oleh paket happy yang terbaru. berhenti berlangganan ketik stop mingguan kirim ke 234""",20500,20500,0,6gb,5hr
150,151,telkomsel,paket internethran 20k,kuota 6gb sd 8gb,20525,20525,0,,1hr
151,152,telkomsel,paket bicara semua operator, 585menit onnet + 25menit allopr ,24500,24500,0,,3hr
152,153,axis,paket internet axis bronet 4g owsem,kuota data 1gb + 1gb (4g). masa aktif 30 hari.,20900,20900,3000,1gb+1gb,0
153,154,axis,aigo bronet 24jam,"kuota utama 2gb, kuota lokal mulai 1gb berlaku di area tertentu, 30hari. cek kuota utama/lokal/sisa kuota di axisnet. unduh axisnet dari google play atau apple store. bronet 30hari tidak berlaku perpanjangan ",25900,25900,0,2gb,30hr
154,155,tri,paket data three,paket data three 4 gb 24jam masa aktif 14 hari,25250,25250,0,4gb,14hr
155,156,axis,paket kangen 100 menit,"kuota nelpon 100 menit ke semua operator, masa aktif 30 hari.",26400,26400,1500,,30hr
156,157,indosat,paket nelpon obrol sepuasnya ke sesama + 60 menit ke semua,nelp sepuasnya ke sesama im3 dan tri & 60 menit nelp ke operator lain. masa aktif 30 hari,24750,24750,0,,30hr
157,158,telkomsel,kuota maxstream,kuota maxstream 5gb + all network 1gb. masa aktif 30 hari,26500,26500,0,5gb,30hr
158,159,telkomsel,paket bicara telkomsel 25.000,550 menit nelpon ke sesama telkomsel dan 50 menit all operator. masa aktif 7 hari. kuota zona berlaku.,26500,26500,0,,0
159,160,telkomsel,telkomsel data smule,"kuota utama 	1gb internet, 1gb dpi musicmax, 30 hari smule vip, 30 hari.",26500,26500,0,1gb,0
160,161,telkomsel,paket bicara semua operator, 780menit onnet + 50menit allopr ,28500,28500,0,,7hr
161,162,telkomsel,paket data zoom,"kuota internet zoom 1.5gb, masa aktif 3 hari",25000,25000,0,,3hr
162,163,telkomsel,musicmax,"data package of 1.25 gb kuota national, 0.25 gb kuota youtube, 5 gb music apps dpi (spotify, joox, langit musik, resso, dezeer, smule, wesing, starmaker) bonus: langit musik premium 30 days + 2 nsp 30 days",26000,26000,0,,0
163,164,telkomsel,musicmax smule,"data package of 1.25 gb kuota national, 0.25 gb kuota youtube, 5 gb music apps dpi smule 32874 25,000 30 days bonus: voucher smule vip 30 days",26000,26000,0,,0
164,165,telkomsel,paket telpon (375-900 menit on net + 50 menit off net),paket telpon sampai dengan 900 menit ke sesama operator dan 50 menit ke operator lain. masa aktif 7 hari,27500,27500,0,,7hr
165,166,indosat,indosat paket unlimited nelpon sesama,paket telpon unlimited ke sesama operator. masa aktif 30 hari,27500,27500,0,,30hr
166,167,indosat,indosat paket unlimited nelpon sesama + 60 menit all,paket telpon unlimited ke sesama operator dan 60 menit ke semua operator. masa aktif 30 hari,28000,28000,0,,30hr
167,168,tri,happy,"""kuota 7gb (semua jaringan 24 jam), masa aktif 30 hari. bonus kuota tiktok 5gb 5 hari (1gb/hari).  pembelian lebih dari satu kali atau paket happy lainnya, sisa kuota akan reset dan tergantikan oleh paket happy yang terbaru. berhenti berlangganan ketik stop bulanan kirim ke 234.""",29000,29000,0,7gb,0
168,169,tri,aon,"kuota alwayson = 6gb, aktif selamanya (mengikuti masa aktif kartu). menambah masa aktif kartu 90 hari. maksimal masa aktif kartu 365 hari.",29000,29000,0,6gb,0
169,170,xl,paket internet xl hotrod,kuota utama 800mb (2g/3g/4g). masa aktif 30 hari.,29900,29900,100,800mb,0
170,171,xl,xtra bicara nelpon dan internet,paket xtra bicara nelpon dan internet. masa aktif 30 hari.,29400,29400,600,,30hr
171,172,tri,tri keep on," 8,5 gb semua jaringan tri + 100 mnt ke sesama tri + 100 sms ke sesama tri + games di trixogo dan nonton viu 30 hari",29500,29500,0,5gb,30hr
172,173,tri,paket bebas bicara 150 menit,150 menit 24jam ke semua operator di indonesia/30 hari (sampai pukul 23.59),30000,30000,0,,0
